Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,718.0,751.95,685.2,700.25,20250,441405,20250,441405
2024-02-23 09:16:00,701.95,705.0,693.25,698.65,8790,0,29040,441405
2024-02-23 09:17:00,695.35,702.65,693.95,698.65,3525,0,32565,441405
2024-02-23 09:18:00,700.0,706.25,695.75,703.7,8430,75,40995,441480
2024-02-23 09:19:00,703.85,724.4,703.85,714.2,12615,0,53610,441480
2024-02-23 09:20:00,715.9,745.8,705.9,739.0,11070,0,64680,441480
2024-02-23 09:21:00,740.45,753.0,738.55,746.8,14370,-2565,79050,438915
2024-02-23 09:22:00,750.05,779.0,744.25,774.35,16095,0,95145,438915
2024-02-23 09:23:00,773.95,786.95,760.8,776.8,10035,0,105180,438915
2024-02-23 09:24:00,774.65,777.3,765.0,772.25,6180,-9810,111360,429105
2024-02-23 09:25:00,769.2,791.0,756.5,783.45,9300,0,120660,429105
2024-02-23 09:26:00,784.5,805.1,779.8,788.6,12120,0,132780,429105
2024-02-23 09:27:00,788.7,790.2,744.5,765.0,7680,-2940,140460,426165
2024-02-23 09:28:00,763.95,779.7,761.65,766.9,6180,0,146640,426165
2024-02-23 09:29:00,770.35,770.35,755.5,755.5,3105,0,149745,426165
2024-02-23 09:30:00,757.8,761.75,729.45,760.0,6780,-1605,156525,424560
2024-02-23 09:31:00,759.35,773.35,740.85,747.95,7620,0,164145,424560
2024-02-23 09:32:00,746.45,750.0,739.1,742.5,3150,0,167295,424560
2024-02-23 09:33:00,738.75,738.75,712.45,723.5,8880,300,176175,424860
2024-02-23 09:34:00,725.2,743.15,720.0,740.7,3645,0,179820,424860
2024-02-23 09:35:00,741.65,744.85,730.95,735.3,4680,0,184500,424860
2024-02-23 09:36:00,734.95,749.85,734.95,745.8,3660,-270,188160,424590
2024-02-23 09:37:00,747.0,777.0,743.75,767.3,5400,0,193560,424590
2024-02-23 09:38:00,766.55,815.85,764.2,815.85,14610,0,208170,424590
2024-02-23 09:39:00,809.2,827.35,794.5,806.65,13995,1395,222165,425985
2024-02-23 09:40:00,809.35,827.1,798.5,812.4,7050,0,229215,425985
2024-02-23 09:41:00,809.15,842.8,799.45,840.6,19575,0,248790,425985
2024-02-23 09:42:00,835.0,837.75,820.05,831.65,5850,-7230,254640,418755
2024-02-23 09:43:00,830.0,850.0,829.8,845.8,5985,0,260625,418755
2024-02-23 09:44:00,843.8,856.55,821.7,822.55,8895,0,269520,418755
2024-02-23 09:45:00,826.45,831.15,804.45,830.05,5010,-2790,274530,415965
2024-02-23 09:46:00,830.15,866.4,829.85,855.6,7905,0,282435,415965
2024-02-23 09:47:00,860.45,862.15,840.65,842.1,3600,0,286035,415965
2024-02-23 09:48:00,841.1,860.0,841.1,844.8,2145,-1350,288180,414615
2024-02-23 09:49:00,844.0,850.35,822.0,829.9,3720,0,291900,414615
2024-02-23 09:50:00,833.4,836.7,823.1,836.1,2205,0,294105,414615
2024-02-23 09:51:00,835.0,865.0,829.5,847.0,4875,-2985,298980,411630
2024-02-23 09:52:00,849.6,849.6,824.4,826.4,3435,0,302415,411630
2024-02-23 09:53:00,827.85,833.95,813.4,820.75,3075,0,305490,411630
2024-02-23 09:54:00,820.65,846.6,812.95,840.75,2925,-2970,308415,408660
2024-02-23 09:55:00,844.1,850.0,823.7,834.65,2040,0,310455,408660
2024-02-23 09:56:00,838.85,849.7,835.5,835.5,780,0,311235,408660
2024-02-23 09:57:00,834.65,837.25,818.6,831.35,1095,-1080,312330,407580
2024-02-23 09:58:00,835.3,840.5,820.0,838.6,915,0,313245,407580
2024-02-23 09:59:00,837.3,862.2,837.3,857.8,2655,0,315900,407580
2024-02-23 10:00:00,852.65,877.85,839.2,865.2,3555,-60,319455,407520
2024-02-23 10:01:00,860.15,866.1,833.75,838.5,2670,0,322125,407520
2024-02-23 10:02:00,840.0,848.25,825.0,842.45,3075,0,325200,407520
2024-02-23 10:03:00,838.05,851.7,831.0,836.4,1245,75,326445,407595
2024-02-23 10:04:00,835.95,846.65,835.95,845.9,540,0,326985,407595
2024-02-23 10:05:00,846.85,847.75,829.85,845.05,945,0,327930,407595
2024-02-23 10:06:00,838.6,844.2,825.05,835.1,1185,-405,329115,407190
2024-02-23 10:07:00,838.3,855.0,834.3,853.9,2145,0,331260,407190
2024-02-23 10:08:00,852.0,859.8,838.65,845.7,2520,0,333780,407190
2024-02-23 10:09:00,850.8,870.0,843.2,848.5,2670,-1485,336450,405705
2024-02-23 10:10:00,849.55,860.1,848.35,850.8,2400,0,338850,405705
2024-02-23 10:11:00,855.0,873.45,845.35,854.45,2445,0,341295,405705
2024-02-23 10:12:00,851.25,859.15,850.0,850.25,780,-270,342075,405435
2024-02-23 10:13:00,852.0,893.1,849.6,877.45,8925,0,351000,405435
2024-02-23 10:14:00,879.05,905.5,871.45,905.5,7650,0,358650,405435
2024-02-23 10:15:00,898.9,934.05,898.9,927.25,13800,-1665,372450,403770
2024-02-23 10:16:00,929.2,932.65,910.0,927.5,6360,0,378810,403770
2024-02-23 10:17:00,927.7,945.95,927.7,934.4,4710,0,383520,403770
2024-02-23 10:18:00,942.25,955.0,936.35,936.35,7140,-5895,390660,397875
2024-02-23 10:19:00,938.8,945.0,929.8,937.65,2430,0,393090,397875
2024-02-23 10:20:00,934.2,963.0,934.2,948.3,4545,0,397635,397875
2024-02-23 10:21:00,950.4,950.4,906.5,914.85,4740,-1815,402375,396060
2024-02-23 10:22:00,918.0,934.7,916.05,918.05,1575,0,403950,396060
2024-02-23 10:23:00,918.3,918.3,880.0,883.55,3465,0,407415,396060
2024-02-23 10:24:00,887.85,888.15,825.5,835.4,5400,-360,412815,395700
2024-02-23 10:25:00,831.45,856.8,829.2,847.85,2190,0,415005,395700
2024-02-23 10:26:00,849.5,860.6,833.1,833.1,2700,0,417705,395700
2024-02-23 10:27:00,829.9,830.4,774.05,778.35,10380,135,428085,395835
2024-02-23 10:28:00,782.9,802.25,753.35,757.6,4395,0,432480,395835
2024-02-23 10:29:00,759.45,777.7,731.55,744.9,7440,0,439920,395835
2024-02-23 10:30:00,743.95,764.25,728.05,761.3,6585,2310,446505,398145
2024-02-23 10:31:00,755.6,757.1,690.2,695.05,8985,0,455490,398145
2024-02-23 10:32:00,696.15,715.4,678.9,709.85,18540,0,474030,398145
2024-02-23 10:33:00,708.1,722.7,695.35,721.85,8265,0,482295,398145
2024-02-23 10:34:00,717.6,720.2,700.0,720.15,3540,870,485835,399015
2024-02-23 10:35:00,715.5,725.95,711.05,711.55,4245,0,490080,399015
2024-02-23 10:36:00,711.5,711.5,681.6,684.95,6975,0,497055,399015
