Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,56.0,60.3,54.65,58.65,49740,285300,49740,285300
2024-02-23 09:16:00,58.6,62.05,58.6,61.5,20760,0,70500,285300
2024-02-23 09:17:00,61.75,66.05,61.75,64.75,28230,0,98730,285300
2024-02-23 09:18:00,65.1,65.2,60.65,60.85,24840,7020,123570,292320
2024-02-23 09:19:00,60.75,61.1,58.35,59.5,22845,0,146415,292320
2024-02-23 09:20:00,59.35,60.0,56.05,57.1,25350,0,171765,292320
2024-02-23 09:21:00,56.9,57.0,55.0,55.8,28860,9870,200625,302190
2024-02-23 09:22:00,55.3,55.6,52.5,53.0,11400,0,212025,302190
2024-02-23 09:23:00,52.95,54.2,52.55,54.2,11685,0,223710,302190
2024-02-23 09:24:00,54.65,56.6,53.45,54.45,17070,9630,240780,311820
2024-02-23 09:25:00,54.75,56.35,53.65,54.1,16980,0,257760,311820
2024-02-23 09:26:00,54.0,54.2,52.1,53.7,13080,0,270840,311820
2024-02-23 09:27:00,53.6,56.5,53.55,55.55,15120,4875,285960,316695
2024-02-23 09:28:00,55.7,56.2,53.85,54.55,5955,0,291915,316695
2024-02-23 09:29:00,54.3,55.65,54.3,55.0,12000,0,303915,316695
2024-02-23 09:30:00,55.3,57.95,55.3,56.05,26190,9300,330105,325995
2024-02-23 09:31:00,55.9,57.2,53.9,56.75,18555,0,348660,325995
2024-02-23 09:32:00,56.8,58.3,56.8,58.0,26145,0,374805,325995
2024-02-23 09:33:00,58.4,61.85,58.2,61.15,24000,1005,398805,327000
2024-02-23 09:34:00,60.35,61.95,58.45,58.5,17730,0,416535,327000
2024-02-23 09:35:00,58.25,61.45,58.25,61.45,8865,0,425400,327000
2024-02-23 09:36:00,61.4,62.0,59.25,59.7,17415,-3195,442815,323805
2024-02-23 09:37:00,59.8,59.8,55.0,56.0,16110,0,458925,323805
2024-02-23 09:38:00,56.6,56.6,48.2,48.2,33105,0,492030,323805
2024-02-23 09:39:00,49.0,50.05,46.2,47.55,50685,-4110,542715,319695
2024-02-23 09:40:00,47.45,48.25,46.4,48.25,18990,0,561705,319695
2024-02-23 09:41:00,48.2,49.6,45.3,45.8,22110,0,583815,319695
2024-02-23 09:42:00,45.9,46.95,45.3,45.9,25815,480,609630,320175
2024-02-23 09:43:00,45.8,46.2,44.2,44.25,31710,0,641340,320175
2024-02-23 09:44:00,44.15,45.45,43.95,45.2,27285,0,668625,320175
2024-02-23 09:45:00,45.3,47.1,45.3,46.2,11205,5670,679830,325845
2024-02-23 09:46:00,46.4,46.6,42.8,44.25,32265,0,712095,325845
2024-02-23 09:47:00,44.1,45.45,43.7,44.7,11370,0,723465,325845
2024-02-23 09:48:00,44.9,45.45,44.0,45.2,6135,4620,729600,330465
2024-02-23 09:49:00,45.25,46.55,44.8,46.25,16245,0,745845,330465
2024-02-23 09:50:00,45.95,46.5,45.65,46.0,4065,0,749910,330465
2024-02-23 09:51:00,45.85,46.25,43.9,44.8,6180,5430,756090,335895
2024-02-23 09:52:00,44.75,46.7,44.75,46.65,10395,0,766485,335895
2024-02-23 09:53:00,46.45,47.8,45.65,47.25,12660,0,779145,335895
2024-02-23 09:54:00,47.2,47.3,45.55,45.9,7125,5190,786270,341085
2024-02-23 09:55:00,45.5,47.25,44.6,46.0,6210,0,792480,341085
2024-02-23 09:56:00,46.2,46.55,45.2,46.5,4095,0,796575,341085
2024-02-23 09:57:00,46.2,47.75,46.05,46.7,7440,720,804015,341805
2024-02-23 09:58:00,46.55,47.9,46.0,46.35,26595,0,830610,341805
2024-02-23 09:59:00,46.85,47.0,44.1,44.55,8805,0,839415,341805
2024-02-23 10:00:00,44.95,45.7,42.5,43.05,28890,2820,868305,344625
2024-02-23 10:01:00,43.0,45.85,42.85,45.55,23055,0,891360,344625
2024-02-23 10:02:00,45.5,46.45,44.5,45.1,5625,0,896985,344625
2024-02-23 10:03:00,45.5,46.15,44.45,45.8,4095,-7590,901080,337035
2024-02-23 10:04:00,45.75,45.75,44.25,44.6,2415,0,903495,337035
2024-02-23 10:05:00,44.2,46.0,44.2,44.65,8055,0,911550,337035
2024-02-23 10:06:00,45.15,46.5,44.8,45.6,6480,5610,918030,342645
2024-02-23 10:07:00,45.65,45.75,43.45,43.45,4365,0,922395,342645
2024-02-23 10:08:00,43.65,45.15,42.95,44.5,10515,0,932910,342645
2024-02-23 10:09:00,44.0,44.0,42.0,44.0,10935,3840,943845,346485
2024-02-23 10:10:00,43.7,43.95,42.1,42.6,8460,0,952305,346485
2024-02-23 10:11:00,42.4,43.2,40.8,42.1,17505,0,969810,346485
2024-02-23 10:12:00,42.5,42.6,41.6,42.6,4815,1875,974625,348360
2024-02-23 10:13:00,42.55,42.65,38.2,39.2,32535,0,1007160,348360
2024-02-23 10:14:00,39.25,39.75,37.6,37.65,13935,0,1021095,348360
2024-02-23 10:15:00,37.8,38.0,35.25,36.25,25800,-2775,1046895,345585
2024-02-23 10:16:00,36.15,37.1,35.95,36.35,19695,0,1066590,345585
2024-02-23 10:17:00,36.55,37.0,35.4,35.6,18285,0,1084875,345585
2024-02-23 10:18:00,35.3,35.75,34.3,35.3,31845,-13755,1116720,331830
2024-02-23 10:19:00,35.2,35.85,34.85,35.8,12585,0,1129305,331830
2024-02-23 10:20:00,35.9,36.15,35.0,36.15,17535,0,1146840,331830
2024-02-23 10:21:00,35.8,38.2,35.8,37.25,11235,-375,1158075,331455
2024-02-23 10:22:00,37.2,37.85,36.8,37.85,7035,0,1165110,331455
2024-02-23 10:23:00,37.75,39.2,37.75,38.75,10350,0,1175460,331455
2024-02-23 10:24:00,38.9,41.75,38.9,41.6,14820,1665,1190280,333120
2024-02-23 10:25:00,41.5,42.05,40.7,41.4,18570,0,1208850,333120
2024-02-23 10:26:00,41.3,42.7,40.2,42.7,22485,0,1231335,333120
2024-02-23 10:27:00,42.5,47.0,42.5,46.45,34830,0,1266165,333120
2024-02-23 10:28:00,46.05,49.1,44.95,49.0,32880,6600,1299045,339720
2024-02-23 10:29:00,48.85,51.0,46.1,50.15,52680,0,1351725,339720
2024-02-23 10:30:00,50.1,52.55,47.55,48.3,51780,0,1403505,339720
2024-02-23 10:31:00,48.8,61.7,48.8,61.25,79140,-4800,1482645,334920
2024-02-23 10:32:00,60.85,67.9,57.25,59.45,102810,0,1585455,334920
2024-02-23 10:33:00,59.5,63.5,58.0,58.55,50370,0,1635825,334920
2024-02-23 10:34:00,58.8,61.0,58.0,58.4,22935,-570,1658760,334350
2024-02-23 10:35:00,58.6,58.6,55.8,57.75,29160,0,1687920,334350
2024-02-23 10:36:00,58.2,66.0,58.2,65.3,28410,0,1716330,334350
2024-02-23 10:37:00,65.4,74.2,63.1,63.8,91575,5820,1807905,340170
2024-02-23 10:38:00,64.65,66.75,63.2,65.1,45360,0,1853265,340170
2024-02-23 10:39:00,64.85,68.0,64.25,65.7,16305,0,1869570,340170
2024-02-23 10:40:00,65.55,70.3,65.55,66.55,50850,780,1920420,340950
2024-02-23 10:41:00,66.95,67.9,58.7,58.7,31515,0,1951935,340950
2024-02-23 10:42:00,59.15,60.05,52.3,53.55,39540,0,1991475,340950
2024-02-23 10:43:00,54.15,55.85,52.2,52.5,13920,-465,2005395,340485
2024-02-23 10:44:00,52.9,56.7,51.6,53.35,35265,0,2040660,340485
2024-02-23 10:45:00,53.1,56.0,52.4,55.35,12660,0,2053320,340485
2024-02-23 10:46:00,55.2,58.2,54.6,57.8,11265,2820,2064585,343305
2024-02-23 10:47:00,57.6,59.2,56.65,58.45,28125,0,2092710,343305
2024-02-23 10:48:00,58.6,60.15,55.65,59.95,25275,0,2117985,343305
2024-02-23 10:49:00,59.7,59.7,55.15,56.05,31650,1620,2149635,344925
2024-02-23 10:50:00,55.7,57.0,53.85,55.8,20895,0,2170530,344925
2024-02-23 10:51:00,55.85,57.6,54.45,57.4,11775,0,2182305,344925
2024-02-23 10:52:00,57.8,61.9,57.4,61.15,19395,-330,2201700,344595
2024-02-23 10:53:00,60.85,61.5,57.75,57.95,37035,0,2238735,344595
2024-02-23 10:54:00,58.0,59.6,57.2,57.65,36150,0,2274885,344595
2024-02-23 10:55:00,57.6,60.0,57.0,59.45,20640,2430,2295525,347025
2024-02-23 10:56:00,59.7,61.35,58.55,60.6,24975,0,2320500,347025
2024-02-23 10:57:00,60.95,63.4,59.8,61.55,38235,0,2358735,347025
2024-02-23 10:58:00,61.6,63.25,60.2,60.35,38745,-28470,2397480,318555
2024-02-23 10:59:00,60.6,62.4,59.55,61.5,17415,0,2414895,318555
2024-02-23 11:00:00,61.55,64.7,60.1,60.45,24345,0,2439240,318555
2024-02-23 11:01:00,60.35,60.45,55.35,57.85,23565,-2055,2462805,316500
2024-02-23 11:02:00,57.65,57.65,50.15,51.85,17850,0,2480655,316500
2024-02-23 11:03:00,51.75,51.75,43.4,44.35,45945,0,2526600,316500
2024-02-23 11:04:00,43.85,45.3,40.45,40.65,16695,-6615,2543295,309885
2024-02-23 11:05:00,40.9,43.0,39.35,40.45,29010,0,2572305,309885
2024-02-23 11:06:00,40.8,42.0,38.8,41.5,18270,0,2590575,309885
2024-02-23 11:07:00,41.25,42.7,40.85,41.4,11910,7830,2602485,317715
2024-02-23 11:08:00,41.35,43.0,40.6,42.7,10860,0,2613345,317715
2024-02-23 11:09:00,42.65,44.35,42.65,43.6,14805,0,2628150,317715
